,Player,Team,GP,GS,Min,PTS,PM_2,PA_2,P2proc,PM_3,PA_3,P3proc,FTM,FTA,FTAproc,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
29,J. COHENJAKE COHEN,MTA,128,25,9,2.9,0.8,1.5,51.6,0.3,0.9,38.7,0.4,0.5,75.8,0.5,1,1.5,0.7,0.3,0.5,0.1,0.1,1.4,0.8,2.8
30,A. PONKRASHOVANTON PONKRASHOV,"CSK, LOK, UNK, ZEN, KHI",116,20,12,3.2,0.8,2,42.1,0.3,1.3,25,0.5,0.8,60.8,0.3,1.1,1.4,1.4,0.4,0.9,0.1,0.1,1.2,1.1,2.8
31,S. VRANESSLAVKO VRANES,"BUD, PAR",78,33,14,2.7,1.1,2.3,46.4,0,0,0,0.5,1.1,45.9,1.1,2.4,3.5,0.2,0.1,1.1,1.2,0.2,2.2,0.9,3.2
32,K. ARCHIBONGKOKO ARCHIBONG,"PAU, BRO, PRO",43,26,20,4,1.3,3,43,0.3,1.3,25.9,0.5,0.8,58.3,0.8,2.4,3.2,0.7,0.7,1.1,0.3,0.2,2.8,1.4,3.2
33,C. AKYOLCENK AKYOL,"EFS, GSL",83,16,14,4.1,0.6,1.5,39.3,0.8,2.1,37.8,0.6,0.9,70.7,0.3,1.3,1.6,0.5,0.6,0.5,0.1,0.1,1.7,1.1,3.2
34,I. DIOPILIMANE DIOP,TDS,193,37,10,3.1,1,1.8,54.3,0.1,0.3,28.1,0.9,1.2,75.1,0.8,1.4,2.1,0.3,0.2,0.6,0.5,0.1,2.2,1.3,3.3
35,Y. GREENYANIV GREEN,MAC,98,13,8,3,1,2,51.8,0,0,0,1,1.5,63.8,0.6,1.3,1.8,0.3,0.4,0.5,0.3,0.2,1.6,1.3,3.3
36,M. TODOROVICMARKO TODOROVIC,"FCB, KHI",76,2,9,2.8,1.1,1.9,54.7,0,0.1,12.5,0.6,1,67.1,0.9,1.4,2.3,0.5,0.3,0.6,0.4,0.2,1.8,0.9,3.4
37,Z. PASHUTINZAKHAR PASHUTIN,"CSK, UNK",103,16,12,3.6,1,2,50.2,0.4,1.2,32.5,0.5,0.8,55.8,0.4,1.3,1.7,0.9,0.7,0.6,0.1,0.1,1.6,0.9,3.4
38,J. TAYLORJEFFERY TAYLOR,RMB,202,106,16,4.6,1,1.9,55.4,0.7,1.8,37.3,0.6,0.8,68.1,0.7,1.1,1.7,0.9,0.4,0.6,0.1,0.2,2,0.9,3.5
39,A. OBSTANDREAS OBST,"BRO, BAY",57,17,12,6.1,0.5,0.9,48.1,1.6,4.2,38.9,0.3,0.3,93.8,0.1,0.9,1,0.7,0.3,0.6,0,0.2,1.5,0.7,3.5
40,V. ZAITCEVVIACHESLAV ZAITCEV,"KHI, UNK",100,37,11,2.8,0.9,1.7,51.5,0.2,0.6,29,0.6,0.7,75.3,0.3,1.2,1.5,1.4,0.6,0.8,0.3,0.2,1.8,1.1,3.5
41,S. KARASEVSERGEY KARASEV,"KHI, ZEN",72,33,14,4.3,0.7,1.3,53.1,0.8,2.2,33.8,0.6,0.7,91.5,0.4,1.3,1.7,0.7,0.6,0.6,0.1,0,2.1,1,3.5
42,U. TRIPKOVICUROS TRIPKOVIC,"PAR, UNI, FBU",113,48,21,8.6,1.2,3.1,39.4,1.6,4.7,34.9,1.2,1.5,82.9,0.3,1.3,1.6,1.1,0.7,1.5,0,0.3,2.9,1.5,3.5
43,N. DANGUBICNEMANJA DANGUBIC,"CZV, BAY",114,66,16,5.1,1.1,2.3,46.8,0.7,1.9,38.5,0.8,1,76.1,0.5,1.8,2.3,0.7,0.5,1,0.1,0.3,2.4,1.2,3.5
44,X. RABASEDAXAVIER RABASEDA,"FCB, HGC",66,20,14,3.9,0.8,1.5,55.4,0.6,1.9,29.9,0.5,0.7,72.3,0.3,1.3,1.7,0.7,0.7,0.9,0.2,0.1,1.5,1,3.5
45,O. ONANOMER ONAN,"EFS, ULK",187,93,19,6.4,1.4,2.9,49,0.9,2.5,35.7,0.9,1.6,59.7,0.2,0.9,1.1,0.7,0.8,0.8,0,0.3,2.2,1.6,3.6
46,T. ACIKTUTKU ACIK,"ULK, GSL, BJK",97,11,13,3.8,0.7,1.2,55.5,0.5,1.7,31.7,0.9,1.2,73.9,0.1,0.7,0.8,1.5,0.7,0.9,0,0.1,1.7,1.4,3.6
47,G. LARENTZAKISGIANNOULIS LARENTZAKIS,OLY,97,3,12,5.1,0.6,1.2,47.4,1.1,3.2,34.3,0.8,1,76.3,0.2,1.4,1.6,1.1,0.5,1,0,0.1,2.1,1.4,3.6
48,M. PAPAMAKARIOSMANOLIS PAPAMAKARIOS,"PER, OLY",72,26,15,4.4,0.7,1.5,44.3,0.8,2.1,36.2,0.8,1.1,77.6,0.2,1.3,1.5,1.2,0.9,0.8,0,0.1,2.2,1.2,3.7
49,A. DUVERIOGLUAHMET DUVERIOGLU,"EFS, FNB",142,72,9,3.2,1.4,2,67.9,0,0,0,0.4,0.9,49.6,1,1.3,2.2,0.5,0.3,0.6,0.3,0.2,1.9,0.9,3.7
50,M. PELEKANOSMICHALIS PELEKANOS,"PER, AEK, RMD, MAR, OLY",105,33,16,4.5,1,1.9,49,0.6,1.8,33,0.7,1,73.1,0.5,1.7,2.2,0.6,1,0.8,0.3,0.1,2.4,1.2,3.8
51,A. STIMACANDREJ STIMAC,CIB,44,1,16,4.7,0.7,1.5,48.5,0.9,2.5,34.9,0.6,0.9,73.7,0.8,1.6,2.3,0.6,0.5,0.7,0.1,0.2,1.7,0.9,3.9
52,F. FAUTHOUXFREDERIC FAUTHOUX,"PAU, ASV",81,12,15,4.7,0.3,0.6,42,1,2.7,39.5,1,1.2,83.8,0.2,0.9,1,1.7,0.4,1.3,0,0.1,1.8,1.3,3.9
53,C. HARISSISCHRISTOS HARISSIS,"BKN, OLY, PRO",91,32,16,5.3,1,2.2,47.7,0.8,2.5,32,0.9,1.2,70.9,0.4,1.1,1.5,1.5,0.6,1,0.1,0.1,2.4,1.6,3.9
54,D. NICHOLSDEMETRIS NICHOLS,"CSK, PAO",82,23,13,4.1,0.9,1.7,51.8,0.7,1.6,42.6,0.4,0.5,80,0.4,1.5,2,0.4,0.5,0.6,0.4,0.1,1.6,0.7,3.9
55,V. MARINKOVICVANJA MARINKOVIC,"VBC, BKN",103,40,16,6.4,1,2,48.8,1.3,3.4,36.3,0.7,0.8,82.8,0.3,1,1.2,0.7,0.3,0.6,0,0.3,1.6,1,3.9
56,S. GULERSINAN GULER,"EFS, GSO, FNB",175,67,15,4.8,1.4,2.8,51,0.5,1.9,27.6,0.4,0.6,71.2,0.4,1.3,1.7,1.9,0.7,1.1,0.2,0.2,1.8,0.7,4
57,A. ZUBKOVANDREY ZUBKOV,"LOK, KHI, ZEN",164,26,13,4.3,1.1,2,53.4,0.5,1.5,35.2,0.5,0.8,64,0.6,1.5,2.1,0.8,0.3,0.7,0.1,0.2,1.7,1.2,4
58,D. DRAPERDONTAYE DRAPER,"EFS, LOK, RMD",133,22,16,4.2,0.7,1.7,43.3,0.7,2.1,33.3,0.6,0.8,81.2,0.3,1.2,1.5,1.8,0.9,0.9,0.1,0.2,1.9,1.1,4.1
59,D. DIEZDANIEL DIEZ,"RMD, UNI, BKN",96,16,12,3.4,0.7,1.2,59.8,0.6,1.4,39.8,0.3,0.4,70.3,0.6,1.5,2.1,0.5,0.3,0.4,0,0.1,0.9,0.5,4.1
60,V. SADAVICTOR SADA,FCB,166,27,14,2.5,0.8,1.5,49.8,0.2,0.8,21,0.4,0.7,68.5,0.5,1.6,2,1.9,0.5,0.9,0.1,0.1,1.3,1,4.1
61,A. CINCIARINIANDREA CINCIARINI,"PES, ROM, CTU, EA7",106,47,15,3.9,1.1,2.3,47.4,0.3,0.9,34,0.7,1.1,68.1,0.4,1.5,1.9,1.7,0.5,0.9,0,0.1,1.8,1.1,4.1
62,G. PNINIGUY PNINI,MTA,154,42,15,4.7,0.6,1.1,52.6,1,2.5,38.7,0.6,0.9,70.4,0.3,1.3,1.5,1.2,0.4,0.6,0,0.1,1.6,0.9,4.2
63,S. LANDESBERGSYLVEN LANDESBERG,MTA,95,7,14,6,1.5,3,50.5,0.7,2,35.9,0.8,1.2,68.2,0.4,1.3,1.6,0.5,0.2,0.5,0,0.3,1.3,1.2,4.3
64,D. PAPANIKOLAOUDIMITRIOS PAPANIKOLAOU,"OLY, PAO",91,25,12,4.4,1.2,2.3,52.9,0.3,0.9,35,1,1.8,58.6,0.6,1.4,2,0.6,0.5,0.6,0.2,0.1,1.7,1.5,4.3
